time,QA:1,force:1,pA:1,pos:1,u:1
1.0508931,0,10241.17951,3660237.809,0.021685401,0
1.052679299,0,9612.241726,3434548.009,0.021718837,0
1.054465499,0,9003.452386,3215808.553,0.021751244,0
1.057388021,0,8069.240162,2879686.39,0.021801041,0
1.061316601,0,6974.512954,2485156.539,0.021859491,0
1.065245181,0,6113.483373,2174132.186,0.02190557,0
1.069173761,0,5532.134158,1963012.454,0.021936848,0
1.073102341,0,5262.473476,1862865.488,0.021951685,0
1.077030921,0,5320.449145,1878820.112,0.021949321,0
1.080959501,0,5704.559146,2009764.458,0.021929922,0
1.084888081,0,6395.355752,2248377.361,0.02189457,0
1.088816661,0,7356.005546,2581501.319,0.021845217,0
1.092745241,0,8533.993686,2990845.715,0.021784572,0
1.096673822,0,9863.954424,3453987.389,0.021715957,0
1.1,0,11051.432,3868632.12,0.021654527,0
1.1,0,11051.432,3868632.12,0.021654527,0
1.1,0,11051.432,3868632.12,0.021654527,0
1.100907339,0,11380.35009,3983779.933,0.021637467,0
1.102722018,0,12035.41017,4213357.665,0.021603455,0
1.104536697,0,12680.95146,4440160.649,0.021569854,0
1.10740591,0,13662.0061,4786181.657,0.02151859,0
1.111278777,0,14864.64106,5213416.144,0.021455295,0
1.115151644,0,15872.98306,5575816.234,0.021401605,0
1.119024511,0,16634.97018,5854716.083,0.021360285,0
1.122897378,0,17112.92352,6036003.259,0.021333428,0
1.126770245,0,17285.2173,6110816.833,0.021322344,0
1.130643112,0,17146.88993,6075949.644,0.021327509,0
1.134515979,0,16709.26693,5933942.911,0.021348548,0
1.138388846,0,15998.73838,5692879.619,0.021384261,0
1.142261713,0,15054.87215,5365898.751,0.021432704,0
1.14613458,0,13928.05008,4970464.775,0.021491288,0
1.150007447,0,12676.79523,4527435.821,0.021556923,0
1.153880314,0,11364.92425,4059979.906,0.021626178,0
1.157753181,0,10058.62146,3592392.059,0.021695452,0
1.161626048,0,8823.500135,3148866.849,0.021761161,0
1.165498915,0,7721.699507,2752281.186,0.021819916,0
1.169371782,0,6809.066289,2423041.655,0.021868693,0
1.173244649,0,6132.486126,2178049.018,0.02190499,0
1.177117516,0,5727.459485,2029829.607,0.021926949,0
1.180990383,0,5616.049229,1985878.568,0.02193346,0
1.18486325,0,5805.354053,2048252.849,0.021924219,0
1.188736117,0,6286.672268,2213441.846,0.021899746,0
1.192608984,0,7035.505603,2472530.726,0.021861361,0
1.196481851,0,8012.507994,2811655.827,0.021811119,0
1.200354718,0,9165.411105,3212734.15,0.021751699,0
1.204227585,0,10431.86446,3654430.99,0.02168626,0
1.208100452,0,11743.02741,4113313.104,0.021618276,0
1.211973319,0,13027.6597,4565121.1,0.02155134,0
1.215846186,0,14216.39417,4986085.746,0.021488974,0
1.219719053,0,15245.85095,5354209.604,0.021434436,0
1.22359192,0,16062.27277,5650438.371,0.021390549,0
1.227464787,0,16624.42118,5859655.032,0.021359554,0
1.231337654,0,16905.56239,5971443.445,0.021342992,0
1.235210521,0,16894.47205,5980584.552,0.021341638,0
1.239083388,0,16595.48454,5887266.38,0.021355463,0
1.242956255,0,16027.68841,5697006.476,0.02138365,0
1.246829122,0,15223.4192,5420301.168,0.021424644,0
1.250701989,0,14226.2195,5072029.068,0.021476241,0
1.254574856,0,13088.43015,4670646.202,0.021535707,0
1.258447723,0,11868.55208,4237217.185,0.02159992,0
1.26232059,0,10628.48657,3794331.307,0.021665534,0
1.266193457,0,9430.731741,3364954.837,0.021729147,0
1.270066324,0,8335.592546,2971271.835,0.021787472,0
1.273939191,0,7398.455725,2633565.575,0.021837504,0
1.277812058,0,6667.18966,2369191.458,0.021876672,0
1.281684925,0,6179.750524,2191689.895,0.021902969,0
1.285557792,0,5962.103564,2110083.64,0.021915059,0
1.289430659,0,6026.593755,2128398.039,0.021912345,0
1.293303526,0,6370.914082,2245434.122,0.021895006,0
1.297176393,0,6977.813776,2454813.257,0.021863986,0
1.30104926,0,7815.657438,2745298.338,0.02182095,0
1.304922127,0,8839.888235,3101380.7,0.021768196,0
1.308794994,0,9995.369183,3504105.38,0.021708531,0
1.312667861,0,11219.48634,3932091.244,0.021645125,0
1.316540728,0,12445.81098,4362688.624,0.021581331,0
1.320413595,0,13608.04982,4773206.969,0.021520512,0
1.324286462,0,14643.97574,5142139.797,0.021465854,0
1.328159329,0,15499.03365,5450314.684,0.021420198,0
1.332032196,0,16129.35646,5681901.93,0.021385888,0
1.335905063,0,16503.99674,5825226.359,0.021364654,0
1.33977793,0,16606.26815,5873341.004,0.021357526,0
1.343650797,0,16434.18057,5824337.696,0.021364786,0
1.347523664,0,16000.03146,5681386.174,0.021385964,0
1.351396531,0,15329.27205,5452508.852,0.021419873,0
1.355269398,0,14458.79754,5150111.782,0.021464673,0
1.359142265,0,13434.81522,4790303.078,0.021517979,0
